,BTCUSDT,ETHUSDT,BNBUSDT,NEOUSDT,LTCUSDT,QTUMUSDT,ADAUSDT,XRPUSDT,TUSDUSDT,IOTAUSDT,XLMUSDT,ONTUSDT,TRXUSDT,ETCUSDT,ICXUSDT,VETUSDT,USDCUSDT,LINKUSDT,ONGUSDT,HOTUSDT,ZILUSDT,ZRXUSDT,FETUSDT,BATUSDT,ZECUSDT,IOSTUSDT,CELRUSDT,DASHUSDT,THETAUSDT,ENJUSDT,ATOMUSDT,TFUELUSDT,ONEUSDT,ALGOUSDT,DOGEUSDT,DUSKUSDT,ANKRUSDT,WINUSDT,COSUSDT,MTLUSDT,DENTUSDT,WANUSDT,FUNUSDT,CVCUSDT,CHZUSDT,BANDUSDT,XTZUSDT,RVNUSDT,HBARUSDT,NKNUSDT,STXUSDT,KAVAUSDT,ARPAUSDT,IOTXUSDT,RLCUSDT,BCHUSDT,FTTUSDT,EURUSDT,OGNUSDT,LSKUSDT,BNTUSDT,MBLUSDT,COTIUSDT,DATAUSDT,SOLUSDT,CTSIUSDT,HIVEUSDT,CHRUSDT,ARDRUSDT,MDTUSDT,KNCUSDT,LRCUSDT,COMPUSDT,SCUSDT,ZENUSDT,SNXUSDT,VTHOUSDT,DGBUSDT,SXPUSDT,DCRUSDT,STORJUSDT,MANAUSDT,YFIUSDT,JSTUSDT,CRVUSDT,SANDUSDT,NMRUSDT,DOTUSDT,LUNAUSDT,RSRUSDT,PAXGUSDT,TRBUSDT,SUSHIUSDT,KSMUSDT,EGLDUSDT,DIAUSDT,RUNEUSDT,FIOUSDT,UMAUSDT,BELUSDT
BTCUSDT,1.0,0.8718886341392625,0.8344531405229705,0.6513656726132853,0.5858414146628996,0.7403935135082884,0.8108682650483965,0.7684542165002509,0.2905000862751845,0.7390315768875153,0.751975075094772,0.664055331154737,0.6528696949970679,0.5338147400840316,0.7634603161434058,0.7172733849414396,-0.07015235266513027,0.8097913042941489,0.6700816590656368,0.542663109624372,0.7162019602499407,0.4627920770758077,0.41886786356799044,0.4950021715306487,0.31952204798717354,0.7744850486878908,0.6589704691099459,0.37378369316461396,0.7375794196235502,0.6886623813601997,0.6621856353043827,0.5156381511210837,0.7014417302005312,0.7552614938727398,0.8084724456473144,0.40677321928247107,0.6554325321460641,0.6990008289352232,0.7421452762669097,0.7339786146730359,0.6887008365688247,0.6341544122145399,0.5802126253614206,0.763277278711236,0.7327152615145969,0.7126930707449823,0.34284263135804355,0.3633555389011646,0.7776705448722923,0.6959106312668653,0.7351577270864526,0.5930829317430197,0.6139545298860619,0.6770194292467981,0.5598623553413538,0.7146768980839666,0.5078564348585752,-0.1163754404542229,0.7504578311888069,0.7718889801274055,0.8073597132133051,0.5258042518261383,0.5171610317646927,0.6068960473142637,0.8520402645308366,0.7126253941440586,0.7568355304424457,0.6628085465686906,0.3615446062619451,0.5336386343193688,0.7162080297947577,0.7051387553129,0.74331697773858,0.6020306095920868,0.3582414633886626,0.6439579274802408,0.5401229330737364,0.21537267790755596,0.759276083897927,0.11144949550014083,0.4459038483169637,0.7503800909606712,0.6620170652967363,0.526930748250257,0.726424143400579,0.7883683572721962,0.4425876271983968,0.6470542462050025,0.7237017931866065,0.7611983680827468,0.32518498924559935,0.657295622013837,0.7658556132310187,0.488164408926232,0.6340319477387847,0.5664381515961918,0.7515967169650208,0.7139411025345918,0.6250877234516441,0.6797285361173985
ETHUSDT,0.8718886341392625,1.0,0.8484589670154692,0.6890042933852539,0.593950500272687,0.7599862651860744,0.8368164110246712,0.8259191226707558,0.2888959370931819,0.7955845885908847,0.8032578183282981,0.7172330252198112,0.7018931726451882,0.5563401292449789,0.8134835494964084,0.7670590983369943,-0.06589564225351874,0.8282361371655463,0.7011482396432931,0.5877262062493677,0.7709766352455568,0.4781967839379641,0.4392044533008395,0.48718844788216786,0.23473861278494446,0.8017293475862097,0.7061924173771287,0.3201384545824643,0.7501951559605732,0.7143170527714878,0.6956394318946715,0.5588998101773598,0.71064242287039,0.786555428119442,0.8173805317050249,0.37317037916592605,0.6679396559144696,0.7358938603389643,0.7773483491774206,0.7818779071168961,0.7387835543858101,0.6927418639001497,0.6018791642535337,0.7865744428922263,0.7440128782475309,0.7648216243943575,0.37909013146934745,0.40631989719504347,0.7829551647053321,0.7255281795222137,0.7575682869330335,0.6334488298700987,0.6282743064985226,0.7076146367831347,0.5561475325760428,0.7340115381620023,0.4649314267993291,-0.17090352699364278,0.7651301316572056,0.80232695048908,0.8618468594584783,0.5674094081404712,0.4997903533582575,0.6488938184711193,0.8747310090100253,0.7357757579752986,0.8095490900682472,0.6837437792609924,0.321370233689496,0.5696054361498376,0.7408171536081657,0.7421679433890991,0.7693407930040982,0.5873192024112437,0.332900609622541,0.6651499664528215,0.5798232584675602,0.28952685986287535,0.7894196062287712,0.12190728940527802,0.4167246068317347,0.7739921919207241,0.6715416012672775,0.5530431688977729,0.7099446381978314,0.8113906494445138,0.4648733494532359,0.6930907120801283,0.7273790794468766,0.752294283430638,0.2709472309737803,0.6596032380508658,0.7925928148326009,0.5132949495422121,0.6466989827033697,0.6026690564578583,0.7534654942156325,0.7526967488303183,0.6025643574487288,0.6439439412328811
BNBUSDT,0.8344531405229705,0.8484589670154692,1.0,0.7126700297600269,0.6114748595433099,0.7659251271303388,0.8661213541916148,0.8130186221659607,0.3328958183683303,0.7915551342935845,0.8086433849463294,0.725298958416833,0.7200027034606127,0.5510458474076061,0.828887629616028,0.7532554394468948,-0.10008935010115341,0.8256874921893115,0.7160528042745476,0.580307488768631,0.770655878364844,0.5335118019844827,0.4833365614070918,0.47243292304940715,0.3413086559675512,0.8052353346028792,0.6952727315063265,0.3674233676263485,0.7821500350374017,0.7450096514649649,0.7371219922097407,0.5656085798419588,0.7314798412642965,0.8055435208083143,0.8680392699623014,0.3877510931407735,0.6688965973647276,0.7140431974855838,0.7910371499070334,0.7775458667178585,0.7527292172755848,0.6442042499363239,0.621065143416747,0.7895369850551567,0.7772330477669167,0.7607188653298774,0.39564259522498224,0.3767010345665526,0.7921743266286014,0.7256256957994595,0.7598216067851735,0.6385452289597253,0.6267847066072478,0.695179642251866,0.5399705399252226,0.7371934297403892,0.4910888617127893,-0.19124442362338526,0.7615836842933889,0.7857833124204763,0.8415645667814495,0.5517178349732137,0.5315356345702898,0.6588405232311312,0.8637426739045412,0.7332822833999867,0.7989342740445775,0.7108876843440686,0.36914643360777494,0.5413291002542244,0.7496072447716223,0.7758700327112913,0.8025781077430812,0.6339353565135679,0.39187077364598377,0.6884854470074131,0.6076133136738864,0.2767986786981969,0.7915872523820449,0.11702638839206776,0.45669890079594616,0.7831396440360018,0.7107693378479233,0.5910051201583147,0.7357648319027588,0.8121918703225286,0.4575798607986144,0.7335678979363826,0.7458262143271239,0.7520831708702111,0.24265514980108163,0.6956734564206588,0.8044153818046362,0.5299337371558964,0.6817808964560421,0.6079211166775442,0.7796616693854325,0.7602597004883798,0.6245064835237373,0.7222295428652782
NEOUSDT,0.6513656726132853,0.6890042933852539,0.7126700297600269,1.0,0.7225359030035887,0.8442049295602315,0.8244059470246519,0.725408209175958,0.1957400334124015,0.8269457913874014,0.8030722031072087,0.8349016314165011,0.6632799306639233,0.724089940169544,0.8152787147503302,0.7935216208968818,0.03293847491922295,0.7905716218920898,0.7646908364191952,0.5838467245858885,0.843987332586556,0.5997925347605572,0.5352562142773148,0.4967659768193688,0.2847351904179051,0.8510632584350266,0.7300060631114029,0.25331908084743754,0.8496358865508457,0.7712758398628082,0.7566173967547021,0.5568037640553333,0.7319523707293136,0.8382412891092166,0.8349420227365811,0.32462309473534134,0.7444207282302177,0.6875732147416579,0.81696580652459,0.813192239811951,0.787309883523243,0.6445548077724539,0.6401575792323257,0.8333185974418986,0.7785700976623133,0.7987299231874562,0.45379076533141316,0.426916080519723,0.7498357693805646,0.7427961330524776,0.807037225068775,0.6623016936791377,0.6152369385735122,0.806251581662563,0.6391873117626604,0.6947309483676114,0.45895128768975296,-0.1475339268073711,0.7585726082467701,0.7889629542571525,0.8082136629717791,0.5798900987828074,0.6306829560957514,0.6973938631095604,0.7405378918570836,0.7762393482185034,0.8309910496251244,0.7443737294617864,0.30417503054321304,0.5677542513182452,0.774133278635612,0.7855553141124826,0.829656775374124,0.6539513420472665,0.3115610896357478,0.7176847341724744,0.6582179843521803,0.2575006483423911,0.818689079057429,0.1848615624723572,0.5873109580946343,0.8413563379423667,0.6992653863385245,0.5488662703084509,0.7923604343827219,0.8583235420644093,0.4564441157470334,0.7800925574469119,0.8056384698229855,0.7606662634754784,0.1789660532584515,0.7260055853960383,0.8534521679062553,0.5690172158154142,0.8035481957341553,0.6183659781403938,0.8038800030507983,0.8109097094397498,0.6912610584008277,0.6772778803786916
LTCUSDT,0.5858414146628996,0.593950500272687,0.6114748595433099,0.7225359030035887,1.0,0.8040280959440833,0.8195433301896574,0.6723903283632809,0.24071057066109075,0.7655600245003912,0.7723062770141362,0.8145853174922675,0.6167503655974625,0.7984167857652384,0.7549368874612744,0.7256497909531273,-0.038658835496509884,0.7451635455775594,0.7315135709412895,0.5836288296072424,0.7784048617329905,0.582775039594223,0.4912995008328248,0.43906666068138933,0.32612750207505153,0.79200152834785,0.7345826462276462,0.22357789076269952,0.759778144569623,0.736039414227554,0.7277590341857827,0.513933876176217,0.7016510419508645,0.7735217955784374,0.7864621590871191,0.22185075919507827,0.8386185140555084,0.6603701506494783,0.7830389211515828,0.769054757796728,0.7345405840180873,0.5976069152876765,0.541432881002557,0.7807589178249102,0.7335789126383043,0.7588721127267456,0.34142667313774355,0.40616244084924114,0.7049324808729325,0.6983617317762268,0.7577207997676079,0.5626667711450357,0.610034858271936,0.7869809648974166,0.5479587488263336,0.6980932333028228,0.4563940217899188,-0.06890514368034073,0.712447868605012,0.7359905322650068,0.7216836066869416,0.5811195674141985,0.7783168853161209,0.6866879484287561,0.6618467316348619,0.6871302007988305,0.7416344520245619,0.7000664491942672,0.2998073115329436,0.5273225811566103,0.7170649598228849,0.7437718073608404,0.7699066423941657,0.66662876294363,0.35224106690757767,0.6132944822066331,0.6255834976521967,0.2693604770474795,0.7614639964832816,0.0625284628977273,0.8027064617870522,0.8295774250420328,0.6563908180935155,0.3998778664524273,0.7945344871303992,0.8171078552226714,0.41896137578851605,0.8021792992628464,0.782902853628909,0.7793776352376114,0.2649685886588504,0.7053712606373421,0.7933687167058984,0.5109832928825485,0.8426350076277441,0.6259577873872038,0.7240178490715109,0.8017874595108209,0.679878540429041,0.6338692292431538
QTUMUSDT,0.7403935135082884,0.7599862651860744,0.7659251271303388,0.8442049295602315,0.8040280959440833,1.0,0.89125545337023,0.7825859777464874,0.2814398204170021,0.8854544645916574,0.8735075591015575,0.8785253598774801,0.7116234697915207,0.7443261347566406,0.8995768438713309,0.8693745278135371,-0.07637787025716956,0.8604001545999032,0.8595234422119501,0.6543789144866214,0.9092615576705552,0.6226850708605035,0.5930146281158944,0.5310213761524604,0.3674834693352268,0.91629939720871,0.820759860397908,0.29474233712091324,0.882304524858008,0.8404228734346865,0.8316564583802978,0.622128052789007,0.8268319010039065,0.920522983108907,0.8917323117587791,0.3804899818341576,0.8322062887462117,0.777087924740834,0.9008218432571917,0.9090750599550115,0.8269203747541825,0.7406025307949485,0.643362730748105,0.9020273684260559,0.8670118182934924,0.8991683505152582,0.44253731168898003,0.4915227859336223,0.8247937891940065,0.8516520627955525,0.8742271658402702,0.7120295597462843,0.6759107907482863,0.853705236324943,0.6451018865904847,0.7669213193469891,0.512172526109878,-0.12625382704912488,0.8461487812971328,0.8637305174636696,0.8735355896827918,0.6211901016620573,0.7238202827090156,0.7669707438417238,0.8051446489931358,0.8464704609861416,0.8913502482732005,0.8027581339608942,0.36796452406716024,0.5827490016152114,0.848222105003799,0.853527789125618,0.9004468762658112,0.7156787812299495,0.4017007045518164,0.7781351362425236,0.7172493301303403,0.28368786240890886,0.9069265262662429,0.09456273282592803,0.6969987477974673,0.9165721054625492,0.7840207900166726,0.4938757644329215,0.8827291454110651,0.9300163795292682,0.5127081686086274,0.8489336418262682,0.8835074145375829,0.8597458207212947,0.28674657891580363,0.7932287281620878,0.9238614704354531,0.6590422963062162,0.8696879664870595,0.7181145532995115,0.8302933277755634,0.8791745569953986,0.7969998232781356,0.7289715948934944
ADAUSDT,0.8108682650483965,0.8368164110246712,0.8661213541916148,0.8244059470246519,0.8195433301896574,0.89125545337023,1.0,0.864883630978833,0.30140221767611247,0.9039159342932253,0.9111326871878189,0.8636269235980789,0.7499462580135461,0.7284928881316504,0.9093429948590753,0.8776361392558442,-0.05045292569039557,0.9166843606326824,0.8095098409103761,0.65313501845815,0.8997429602724046,0.6470398798399947,0.5563490397241276,0.5329796037892701,0.378701291701467,0.9147111799629962,0.8286139908001581,0.3002121383187386,0.8794740167380952,0.852971303134631,0.8314796853338432,0.6078681430353978,0.8197232538423822,0.9086479787998184,0.940403500668471,0.3595457055790329,0.843736498791236,0.7950130484270242,0.8735367396866843,0.889538032302681,0.834176952823244,0.7223083593943348,0.6678225773510333,0.9032964843664407,0.8595970124652539,0.867200208193647,0.434300797565709,0.4515473564543972,0.8846703862410014,0.8225548274320128,0.891488959667291,0.7013082899292359,0.7212816336100285,0.8380523086805208,0.5839488065198949,0.8024357329598195,0.5369989058084208,-0.16845361788049124,0.8493869838181772,0.8783134891601243,0.8944922311775295,0.6174669457252341,0.6851998138689089,0.7686653464054807,0.8884226313233944,0.8210368557772619,0.8898848108700544,0.7933477535046416,0.35376980308383177,0.6268725091186156,0.835165325842224,0.8486191320800731,0.898192025553591,0.7272207437202796,0.3910971286259917,0.7800061069997148,0.6725192613514516,0.28781123642778655,0.8859073372313576,0.1275831113325129,0.6608851943172542,0.9203791463760241,0.7608676329952684,0.588738947733114,0.8739367372306596,0.9367644805916605,0.5128765184643691,0.8688560110590205,0.8686826823438321,0.8656812344652968,0.2535335856551657,0.7929264706677598,0.9218918989653104,0.6332368868830229,0.8441077170739464,0.7043143225333807,0.8495480157169609,0.8717110746326046,0.7154851474181246,0.7728135165329215
XRPUSDT,0.7684542165002509,0.8259191226707558,0.8130186221659607,0.725408209175958,0.6723903283632809,0.7825859777464874,0.864883630978833,1.0,0.27187767581825895,0.8314456913583057,0.8729328793532625,0.7603147707834655,0.7126158180227352,0.6263002239893873,0.8150124444767453,0.7819163982770904,-0.10804122005825406,0.850843110073847,0.7265210865361266,0.5162895662859306,0.7992279224979478,0.552143143918681,0.44873650500032025,0.402713927288333,0.3043878665356002,0.8311630880170296,0.719533967001885,0.26110544798381186,0.7715233295190455,0.7206199047968241,0.7375307794064796,0.6264964254669487,0.7047325507137953,0.8171372284801817,0.8580532839942977,0.29395785155586024,0.7180931717644803,0.7179371191159996,0.7704095941067883,0.7959212247709601,0.7718308542649672,0.6421096218812429,0.597609011699126,0.8158140543919747,0.750231972591595,0.7965116025200744,0.4364571128391485,0.3599221861904395,0.8335695315292502,0.7176903114455978,0.774864195966952,0.6457915040518659,0.6281077080458369,0.7462228468601623,0.490472370064282,0.7469203707684124,0.4855266436085242,-0.16204636972182182,0.7822019969865194,0.7782072217548351,0.8301249436686082,0.56034844578857,0.5763165967214409,0.6815659753697177,0.8542040284307,0.7640130903244438,0.8057440718881658,0.6901374965502973,0.28916896308711415,0.5736910412098001,0.7378807801432447,0.7688716606637794,0.7822704528822592,0.6132047333777859,0.3196188924159778,0.6949713102691346,0.6318764023609459,0.2650507747673649,0.8121213109950097,0.0882538867715081,0.5012612090484421,0.8037507380093986,0.6711391344121451,0.5487307932205072,0.7718623857745699,0.8316767004478262,0.4469639861588131,0.737966898222726,0.7595686124347507,0.7785485738196773,0.24820552583839653,0.7206140812835755,0.801743559501104,0.5240075369407137,0.7111837972720222,0.5953182045098641,0.754631694573649,0.7630640535125732,0.6318733155778483,0.7198076630901759
TUSDUSDT,0.2905000862751845,0.2888959370931819,0.3328958183683303,0.1957400334124015,0.24071057066109075,0.2814398204170021,0.30140221767611247,0.27187767581825895,1.0,0.2666205882248045,0.2368543496206417,0.2924459601726514,0.14703334034795393,0.24527085482278066,0.2704011098293155,0.31230834347207337,-0.13019834967478824,0.2717501648751834,0.31520183595261836,0.19889305141626581,0.27916283979943995,0.17471243155876837,0.19861497046196408,0.1609185851705242,0.06483837615857929,0.30538589535791705,0.24066121045490238,0.061880559957397316,0.2823957120822621,0.30715974183385086,0.3015755465201577,0.15796325082818535,0.33638302072317156,0.2981239596028351,0.2677190218071458,0.3389548615275175,0.27166617384704045,0.189814575737807,0.32261861855665475,0.2906429256270186,0.30134714800583823,0.25500214197891424,0.26901421831449795,0.2913052639252654,0.2867112288720927,0.2820078907686414,0.13942022336226587,0.12306867829103815,0.25409103869978267,0.3164857179069383,0.2605984851061918,0.23853050964329423,0.23710748525448158,0.2681177313129174,0.22635746170467502,0.2676283246053037,0.059701216441228604,-0.03576401465239934,0.25380472299186024,0.2972647102658566,0.28331016919197816,0.09719844164772995,0.19628678366565458,0.23662863794386743,0.28660117776306043,0.259339746829731,0.3054696354962231,0.27487652576752514,-0.024801800131876273,0.13285243045139766,0.2462960235886112,0.24331715630965786,0.29368547599150213,0.2673264942878695,0.09157926381574295,0.2729501234975453,0.18785544188632283,0.12943838302726904,0.3267789937123352,0.022284046267062464,0.21733943654579052,0.30889370752094236,0.2632284619264723,0.212118023298534,0.19919487224111707,0.2894424468572449,0.21321388898812363,0.31377336502879455,0.3244943120313961,0.23490590408505505,0.10051700578403804,0.262150725128101,0.29861648373854716,0.17083392358790317,0.30248483483586114,0.18050193236509926,0.3216459569993247,0.32308868659842727,0.25835408986718006,0.22202999010552446
IOTAUSDT,0.7390315768875153,0.7955845885908847,0.7915551342935845,0.8269457913874014,0.7655600245003912,0.8854544645916574,0.9039159342932253,0.8314456913583057,0.2666205882248045,1.0,0.8780475226372912,0.8666525740984773,0.7584738268713302,0.6948890676393671,0.9087973854442373,0.8620706941326246,-0.049041528637249435,0.8815704567872609,0.8220290215750521,0.6478419943466237,0.9011960674408569,0.6620092759619525,0.5888931539382395,0.5324940327566038,0.3662950245512118,0.9077509776553288,0.8218740886880919,0.2772408547814911,0.8889129070037833,0.8583993852648631,0.8331794200243596,0.6238127862768613,0.805858479295382,0.9020974941166915,0.8836319895261245,0.3933994473912884,0.8177976988667973,0.790649895286834,0.8815371605992249,0.8979314972316312,0.8464170674929543,0.718642263905616,0.663982346359859,0.8993420303589519,0.8448996747244366,0.8837398669187376,0.4504704617324085,0.48749531188148976,0.8526365289386068,0.8232248027060255,0.8770581322292094,0.71644115756162,0.7147473325650633,0.8467966629763867,0.6014710277752006,0.7554305946697033,0.5164753906599446,-0.13111626568070012,0.8190028824610779,0.8615981273883282,0.8795175452317228,0.611338093179759,0.676959023608394,0.7621961954586767,0.8473484734594996,0.850732943091651,0.8989381229942863,0.7993887119111002,0.29150404397820023,0.5857214002535647,0.8267394043858902,0.8474792086557307,0.8717106625201526,0.7231758871978456,0.36345944903586824,0.7659664689903939,0.6572198245712736,0.27821495825943277,0.8987185048867833,0.14177834882359927,0.6387866389024993,0.9077113429719066,0.7492288660966376,0.527056683906468,0.8720294387356203,0.9261104057796332,0.5166090186181024,0.8480668794419756,0.8706069740694979,0.8478619756263461,0.22699342434523165,0.8062807240434451,0.91759171344148,0.6559777676354347,0.8365344579696203,0.7157083104832886,0.8277810505696385,0.8671526212533165,0.7428784242637813,0.741826551024402
